examID,admissionNo,studentIndex,studentName,examMarks
G5SE/2016,ST2000001,18020001,Sandali Perera,180
G5SE/2016,ST2000002,18020002,Dilhani Gamhatha,160
G5SE/2016,ST2000003,18020003,Medhani Silva,170
G5SE/2016,ST2000004,18020004,Sherene Dias,150
G5SE/2016,ST2000005,18020005,Maheli Perera,160
G5SE/2016,ST2000006,18020006,Risandi Yuhara,170
G5SE/2016,ST2000007,18020007,Pasindu Chanusha,170
G5SE/2016,ST2000008,18020008,Manishka Perera,160
G5SE/2016,ST2000009,18020009,Chathura Alvis,120
G5SE/2016,ST2000010,18020010,Johnny Depp,180
